Memory, Processes, 16, Rank, 0, vMem, 1030596 KB, pMem, 640052 KB
Memory, Processes, 16, Rank, 1, vMem, 1031504 KB, pMem, 641040 KB
Memory, Processes, 16, Rank, 3, vMem, 1033016 KB, pMem, 642548 KB
Memory, Processes, 16, Rank, 4, vMem, 1031284 KB, pMem, 640720 KB
Memory, Processes, 16, Rank, 5, vMem, 1030876 KB, pMem, 640368 KB
Memory, Processes, 16, Rank, 7, vMem, 1030848 KB, pMem, 640276 KB
Memory, Processes, 16, Rank, 12, vMem, 1031000 KB, pMem, 640424 KB
Memory, Processes, 16, Rank, 13, vMem, 1031948 KB, pMem, 641372 KB
Memory, Processes, 16, Rank, 15, vMem, 1031020 KB, pMem, 640436 KB
Memory, Processes, 16, Rank, 8, vMem, 1031404 KB, pMem, 640808 KB
Memory, Processes, 16, Rank, 9, vMem, 1031508 KB, pMem, 640840 KB
Memory, Processes, 16, Rank, 11, vMem, 1030916 KB, pMem, 640244 KB
Memory, Processes, 16, Rank, 6, vMem, 1033392 KB, pMem, 642640 KB
Memory, Processes, 16, Rank, 14, vMem, 1030944 KB, pMem, 640292 KB
Memory, Processes, 16, Rank, 2, vMem, 1031916 KB, pMem, 641380 KB
Memory, Processes, 16, Rank, 10, vMem, 1033128 KB, pMem, 642460 KB
DATA, 518065.328000, Processes, 16
