Memory, Processes, 16, Rank, 3, vMem, 1049540 KB, pMem, 642636 KB
Memory, Processes, 16, Rank, 4, vMem, 1047492 KB, pMem, 640592 KB
Memory, Processes, 16, Rank, 5, vMem, 1047392 KB, pMem, 642460 KB
Memory, Processes, 16, Rank, 7, vMem, 1047268 KB, pMem, 640292 KB
Memory, Processes, 16, Rank, 0, vMem, 1046704 KB, pMem, 639808 KB
Memory, Processes, 16, Rank, 6, vMem, 1049812 KB, pMem, 642916 KB
Memory, Processes, 16, Rank, 1, vMem, 1048008 KB, pMem, 641080 KB
Memory, Processes, 16, Rank, 2, vMem, 1048308 KB, pMem, 641332 KB
Memory, Processes, 16, Rank, 8, vMem, 1048064 KB, pMem, 643196 KB
Memory, Processes, 16, Rank, 11, vMem, 1047260 KB, pMem, 640360 KB
Memory, Processes, 16, Rank, 12, vMem, 1047596 KB, pMem, 640672 KB
Memory, Processes, 16, Rank, 13, vMem, 1048340 KB, pMem, 641364 KB
Memory, Processes, 16, Rank, 14, vMem, 1047804 KB, pMem, 642860 KB
Memory, Processes, 16, Rank, 15, vMem, 1047220 KB, pMem, 640308 KB
Memory, Processes, 16, Rank, 9, vMem, 1047920 KB, pMem, 640920 KB
Memory, Processes, 16, Rank, 10, vMem, 1049220 KB, pMem, 642164 KB
DATA, 559253.648000, Processes, 16
