Memory, Processes, 16, Rank, 4, vMem, 1031176 KB, pMem, 640644 KB
Memory, Processes, 16, Rank, 5, vMem, 1031116 KB, pMem, 640660 KB
Memory, Processes, 16, Rank, 6, vMem, 1033256 KB, pMem, 642796 KB
Memory, Processes, 16, Rank, 0, vMem, 1030328 KB, pMem, 639792 KB
Memory, Processes, 16, Rank, 1, vMem, 1031644 KB, pMem, 641048 KB
Memory, Processes, 16, Rank, 2, vMem, 1031920 KB, pMem, 641320 KB
Memory, Processes, 16, Rank, 8, vMem, 1031536 KB, pMem, 641044 KB
Memory, Processes, 16, Rank, 9, vMem, 1031544 KB, pMem, 641048 KB
Memory, Processes, 16, Rank, 10, vMem, 1033244 KB, pMem, 642676 KB
Memory, Processes, 16, Rank, 12, vMem, 1031184 KB, pMem, 640700 KB
Memory, Processes, 16, Rank, 13, vMem, 1032124 KB, pMem, 641572 KB
Memory, Processes, 16, Rank, 14, vMem, 1031140 KB, pMem, 640656 KB
Memory, Processes, 16, Rank, 15, vMem, 1030848 KB, pMem, 642420 KB
Memory, Processes, 16, Rank, 7, vMem, 1030604 KB, pMem, 640152 KB
Memory, Processes, 16, Rank, 3, vMem, 1033072 KB, pMem, 642468 KB
Memory, Processes, 16, Rank, 11, vMem, 1030904 KB, pMem, 640340 KB
DATA, 462541.199000, Processes, 16
