Memory, Processes, 16, Rank, 1, vMem, 1031632 KB, pMem, 641064 KB
Memory, Processes, 16, Rank, 2, vMem, 1031828 KB, pMem, 641252 KB
Memory, Processes, 16, Rank, 3, vMem, 1033180 KB, pMem, 642612 KB
Memory, Processes, 16, Rank, 5, vMem, 1031120 KB, pMem, 642564 KB
Memory, Processes, 16, Rank, 6, vMem, 1033232 KB, pMem, 642708 KB
Memory, Processes, 16, Rank, 7, vMem, 1030816 KB, pMem, 640204 KB
Memory, Processes, 16, Rank, 9, vMem, 1031512 KB, pMem, 640908 KB
Memory, Processes, 16, Rank, 13, vMem, 1032088 KB, pMem, 641404 KB
Memory, Processes, 16, Rank, 10, vMem, 1033248 KB, pMem, 644676 KB
Memory, Processes, 16, Rank, 14, vMem, 1030988 KB, pMem, 640308 KB
Memory, Processes, 16, Rank, 11, vMem, 1030812 KB, pMem, 640264 KB
Memory, Processes, 16, Rank, 15, vMem, 1031092 KB, pMem, 640428 KB
Memory, Processes, 16, Rank, 0, vMem, 1030304 KB, pMem, 639740 KB
Memory, Processes, 16, Rank, 8, vMem, 1031920 KB, pMem, 641188 KB
Memory, Processes, 16, Rank, 12, vMem, 1031304 KB, pMem, 642660 KB
Memory, Processes, 16, Rank, 4, vMem, 1031028 KB, pMem, 640488 KB
DATA, 380561.145000, Processes, 16
