Memory, Processes, 16, Rank, 3, vMem, 1049528 KB, pMem, 642508 KB
Memory, Processes, 16, Rank, 5, vMem, 1047652 KB, pMem, 640632 KB
Memory, Processes, 16, Rank, 7, vMem, 1047124 KB, pMem, 640184 KB
Memory, Processes, 16, Rank, 0, vMem, 1046664 KB, pMem, 639708 KB
Memory, Processes, 16, Rank, 4, vMem, 1047492 KB, pMem, 640552 KB
Memory, Processes, 16, Rank, 1, vMem, 1048004 KB, pMem, 641044 KB
Memory, Processes, 16, Rank, 2, vMem, 1048316 KB, pMem, 641312 KB
Memory, Processes, 16, Rank, 8, vMem, 1048148 KB, pMem, 641148 KB
Memory, Processes, 16, Rank, 11, vMem, 1047188 KB, pMem, 640208 KB
Memory, Processes, 16, Rank, 12, vMem, 1047604 KB, pMem, 640696 KB
Memory, Processes, 16, Rank, 13, vMem, 1048500 KB, pMem, 641468 KB
Memory, Processes, 16, Rank, 15, vMem, 1047196 KB, pMem, 640212 KB
Memory, Processes, 16, Rank, 9, vMem, 1048300 KB, pMem, 641172 KB
Memory, Processes, 16, Rank, 10, vMem, 1049220 KB, pMem, 642152 KB
Memory, Processes, 16, Rank, 6, vMem, 1049412 KB, pMem, 642436 KB
Memory, Processes, 16, Rank, 14, vMem, 1047412 KB, pMem, 640432 KB
DATA, 380695.554000, Processes, 16
