Memory, Processes, 16, Rank, 15, vMem, 1020748 KB, pMem, 638196 KB
Memory, Processes, 16, Rank, 7, vMem, 1022692 KB, pMem, 640360 KB
Memory, Processes, 16, Rank, 3, vMem, 1024924 KB, pMem, 642580 KB
Memory, Processes, 16, Rank, 11, vMem, 1022676 KB, pMem, 640356 KB
Memory, Processes, 16, Rank, 9, vMem, 1023360 KB, pMem, 640960 KB
Memory, Processes, 16, Rank, 6, vMem, 1025088 KB, pMem, 642756 KB
Memory, Processes, 16, Rank, 10, vMem, 1024744 KB, pMem, 642424 KB
Memory, Processes, 16, Rank, 2, vMem, 1023684 KB, pMem, 641340 KB
Memory, Processes, 16, Rank, 14, vMem, 1020860 KB, pMem, 638392 KB
Memory, Processes, 16, Rank, 0, vMem, 1022156 KB, pMem, 639724 KB
Memory, Processes, 16, Rank, 1, vMem, 1023636 KB, pMem, 641216 KB
Memory, Processes, 16, Rank, 13, vMem, 1023848 KB, pMem, 643536 KB
Memory, Processes, 16, Rank, 12, vMem, 1023084 KB, pMem, 640736 KB
Memory, Processes, 16, Rank, 8, vMem, 1023516 KB, pMem, 641184 KB
Memory, Processes, 16, Rank, 5, vMem, 1022708 KB, pMem, 640400 KB
Memory, Processes, 16, Rank, 4, vMem, 1022988 KB, pMem, 640680 KB
DATA, 289920.446000, Processes, 16
