Memory, Processes, 16, Rank, 1, vMem, 1023476 KB, pMem, 641148 KB
Memory, Processes, 16, Rank, 11, vMem, 1022352 KB, pMem, 640100 KB
Memory, Processes, 16, Rank, 3, vMem, 1024896 KB, pMem, 642564 KB
Memory, Processes, 16, Rank, 10, vMem, 1025076 KB, pMem, 642752 KB
Memory, Processes, 16, Rank, 2, vMem, 1023952 KB, pMem, 641548 KB
Memory, Processes, 16, Rank, 0, vMem, 1022456 KB, pMem, 640136 KB
Memory, Processes, 16, Rank, 9, vMem, 1023536 KB, pMem, 641264 KB
Memory, Processes, 16, Rank, 8, vMem, 1023488 KB, pMem, 641220 KB
Memory, Processes, 16, Rank, 5, vMem, 1022856 KB, pMem, 640472 KB
Memory, Processes, 16, Rank, 4, vMem, 1023008 KB, pMem, 640632 KB
Memory, Processes, 16, Rank, 13, vMem, 1023728 KB, pMem, 641368 KB
Memory, Processes, 16, Rank, 12, vMem, 1023084 KB, pMem, 640648 KB
Memory, Processes, 16, Rank, 15, vMem, 1022644 KB, pMem, 640312 KB
Memory, Processes, 16, Rank, 14, vMem, 1022780 KB, pMem, 640376 KB
Memory, Processes, 16, Rank, 7, vMem, 1022688 KB, pMem, 640400 KB
Memory, Processes, 16, Rank, 6, vMem, 1024980 KB, pMem, 642688 KB
DATA, 512685.395000, Processes, 16
